1043,1
1058,1
1083,1
1122,1
115,3
1195,1
1196,1
1243,1
1268,1
1299,1
1403,1
1483,1
1578,1
1579,1
1707,1
1755,1
1804,0
1811,0
1859,0
1866,1
1867,1
1923,1
1932,1
1940,1
2027,1
2122,1
2147,1
2171,1
2202,1
2235,1
2266,1
2267,1
2291,1
2298,1
2347,1
2370,1
2371,1
2378,1
2458,1
2499,1
2555,1
2586,1
2610,1
2627,1
2642,1
2659,0
2667,0
2675,0
275,1
3100,1
3108,1
3132,1
3178,1
3187,1
3220,1
338,1
3501,3
3508,3
3676,1
3707,1
3828,1
3900,1
3940,1
4306,2
4319,3
4320,3
4321,3
4322,3
4327,3
4328,3
4329,3
4330,3
4331,3
4332,3
4335,3
4336,3
4337,3
4338,3
4339,3
4340,3
4341,3
4342,3
4343,3
4344,3
4345,3
4346,3
4347,3
4348,3
4349,3
4350,3
4351,3
4352,3
4353,3
4354,3
4355,3
4356,3
4357,3
4358,3
4359,3
4360,3
4361,3
4362,3
4363,3
4364,3
4365,3
4366,3
4367,3
4368,3
4369,3
4370,3
4371,3
4372,3
4374,3
4375,3
4376,3
4377,3
4378,3
4379,3
4382,3
4383,3
4385,3
4386,3
4439,0
4447,0
4483,2
4491,2
4556,3
4563,1
4571,1
4572,3
4578,1
4579,1
4580,3
4581,3
4582,3
4588,3
4589,3
4590,3
4596,3
4597,3
4604,3
4612,2
4683,1
4748,3
4771,1
4859,1
4875,1
4899,1
4931,1
4939,1
4987,1
643,1
883,1
938,1
971,0
979,0
